Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Volatility_30
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F,,,,,
Date,,,,,,,,,,
2024-06-05,1177.25,1191.75,1175.25,1180.25,154196,-0.1484308736217188,1199.857142857143,1203.2833333333333,0.631133225622471,1.1924227159228513
2024-06-06,1200.0,1204.5,1176.0,1176.5,162161,1.9324697387980372,1195.642857142857,1204.4166666666667,1.1488962183832712,1.2410808861643443
2024-06-07,1179.25,1202.5,1174.25,1200.5,175688,-1.7291666666666705,1190.6785714285713,1204.9666666666667,1.222695161940128,1.2839851602179124
2024-06-10,1188.25,1190.75,1175.5,1179.25,139377,0.763196947212208,1187.607142857143,1205.925,1.3013054333645895,1.288724377961441
2024-06-11,1178.0,1193.0,1177.0,1188.25,160774,-0.8626130864716974,1183.75,1206.5,1.3219362238239754,1.30037963644554
2024-06-12,1177.25,1186.5,1171.0,1177.25,161099,-0.06366723259761953,1182.7142857142858,1207.5583333333334,1.1723115927553358,1.274703203715306
2024-06-13,1189.5,1191.25,1171.0,1177.0,149824,1.0405606285835534,1184.2142857142858,1208.6833333333334,1.22717134208014,1.2781142183877798
2024-06-14,1179.75,1189.0,1178.0,1188.75,132144,-0.8196721311475419,1184.5714285714287,1208.3416666666667,1.2780173622290605,1.1681443091205794
2024-06-17,1157.75,1179.0,1157.5,1179.0,138815,-1.8648018648018683,1178.5357142857142,1206.875,1.137717479635076,1.198802725504688
2024-06-18,1174.0,1175.75,1156.5,1158.25,148950,1.4035845389764656,1177.7857142857142,1204.85,1.190905820454348,1.1100047406214477
2024-06-20,1155.25,1175.75,1155.0,1173.0,146080,-1.597103918228282,1173.0714285714287,1202.2833333333333,1.2523246116686857,1.1405391520027108
2024-06-21,1160.5,1168.75,1156.0,1156.0,111374,0.4544470893745878,1170.5714285714287,1200.5416666666667,1.2691538449655326,1.1163008596157966
2024-06-24,1175.25,1179.5,1156.25,1160.5,88889,1.2710038776389432,1170.2857142857142,1199.9583333333333,1.388829657181428,1.1075094904475926
2024-06-25,1163.25,1180.0,1157.75,1175.0,83116,-1.02105934907466,1166.5357142857142,1198.5666666666666,1.3453462470575053,1.1023674904531462
2024-06-26,1162.75,1177.5,1160.0,1163.0,67870,-0.04298302170642199,1164.107142857143,1197.1416666666667,1.328275373453509,1.1020708122153515
2024-06-27,1152.25,1169.5,1150.75,1161.5,32512,-0.9030316061062083,1163.3214285714287,1195.5833333333333,1.1673038358481636,1.10888747023074
2024-06-28,1150.5,1167.0,1146.25,1152.0,4183,-0.15187676285528529,1159.9642857142858,1193.4833333333333,0.9737885158769071,1.0798086904581012
2024-07-01,1159.5,1161.75,1148.25,1148.25,1313,0.7822685788787531,1160.5714285714287,1191.5916666666667,0.8460957306869584,1.0915815855211555
2024-07-02,1165.0,1175.0,1159.25,1159.25,1375,0.47434238896075787,1161.2142857142858,1189.4916666666666,0.8476909819681769,1.0777966905331284
2024-07-03,1176.5,1180.25,1162.0,1162.25,924,0.9871244635193177,1161.392857142857,1187.1083333333333,0.7844400811257772,1.0468018631570482
2024-07-05,1188.5,1191.5,1172.25,1172.25,812,1.0199745006374883,1165.0,1185.5166666666667,0.709692151493523,1.0594994500108754
2024-07-08,1174.25,1181.75,1167.25,1181.75,985,-1.198990323937732,1166.642857142857,1183.1166666666666,0.9112394346893863,1.0618362590712773
2024-07-09,1161.5,1185.0,1160.0,1177.0,839,-1.0857994464551823,1167.9642857142858,1180.525,0.9481207648271631,1.072375668523593
2024-07-10,1141.25,1165.25,1135.75,1165.25,698,-1.7434352130865305,1166.642857142857,1176.9666666666667,1.1849271769331688,1.0932556875382764
2024-07-11,1142.75,1145.0,1137.0,1145.0,108,0.131434830230015,1164.25,1174.075,1.1274580485094585,1.0721553284910876
2024-07-12,1134.5,1134.5,1134.5,1134.5,41399,-0.721942682126453,1159.892857142857,1171.425,1.0981019754575696,1.0588656798224567
2024-07-15,1078.0,1101.0,1075.75,1100.0,35655,-4.980167474658437,1145.8214285714287,1167.0333333333333,1.8939817647302908,1.3701449825053578
2024-07-16,1090.5,1096.5,1076.75,1076.75,37408,1.1595547309833032,1131.8214285714287,1163.2166666666667,1.9220893854725918,1.398448054072689
2024-07-17,1097.25,1102.5,1090.0,1090.0,41677,0.6189821182943644,1120.8214285714287,1160.3083333333334,2.042202700214793,1.3836593543681912
2024-07-18,1098.5,1101.0,1089.0,1097.5,35569,0.11392116655275508,1111.8214285714287,1157.625,2.0785253917599658,1.384530867802668
2024-07-19,1097.25,1107.75,1095.0,1098.0,25658,-0.1137915339098794,1105.5357142857142,1154.9583333333333,2.0428732565858594,1.3846122835849315
2024-07-22,1117.75,1119.75,1100.5,1100.5,40798,1.868307131465019,1101.9642857142858,1152.2166666666667,2.2347298111418934,1.3812103358580443
